transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,replies,p50_ms,p90_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms
tcp,,rr,0.000000,30.000000,500.000000,1,1,247,247,40.191077,44.948967,50.290256,60.379157,31.249781,60.379157,40.498461
enet,,rr,0.000000,30.000000,500.000000,1,1,287,287,34.482047,38.241776,49.312562,50.968140,30.282662,50.968140,34.901015
taut,1,rr,0.000000,30.000000,500.000000,1,1,329,329,30.214673,30.387686,35.518891,40.463027,30.065003,40.463027,30.411492
taut,2,rr,0.000000,30.000000,500.000000,1,1,315,315,30.278206,31.099585,74.139535,140.400132,30.057063,140.400132,31.771150
tcp,,rr,0.000000,30.000000,500.000000,2,2,241,241,39.853254,45.644954,106.065965,114.211409,30.930574,114.211409,41.518418
enet,,rr,0.000000,30.000000,500.000000,2,2,286,286,34.210774,38.167699,64.859266,120.334436,30.470222,120.334436,35.058566
taut,1,rr,0.000000,30.000000,500.000000,2,2,330,330,30.187461,30.291156,33.088482,35.180949,30.038046,35.180949,30.297561
taut,2,rr,0.000000,30.000000,500.000000,2,2,328,328,30.157543,30.281054,33.064390,127.423603,30.023572,127.423603,30.527099
tcp,,rr,0.000000,30.000000,500.000000,3,3,252,252,39.776987,45.421597,53.390264,57.548677,30.989333,57.548677,39.838714
enet,,rr,0.000000,30.000000,500.000000,3,3,293,293,33.648146,37.992299,44.873464,52.704193,30.390295,52.704193,34.136346
taut,1,rr,0.000000,30.000000,500.000000,3,3,330,330,30.184503,30.277966,33.758057,37.238770,30.025740,37.238770,30.318869
taut,2,rr,0.000000,30.000000,500.000000,3,3,327,327,30.149666,30.254118,34.764780,134.421523,30.032628,134.421523,30.630849
tcp,,rr,0.000000,30.000000,500.000000,4,4,251,251,40.488442,44.832045,45.920673,47.149609,31.113646,47.149609,39.982274
enet,,rr,0.000000,30.000000,500.000000,4,4,291,291,34.036522,37.985242,43.684940,54.075671,30.326387,54.075671,34.428242
taut,1,rr,0.000000,30.000000,500.000000,4,4,331,331,30.175925,30.269484,33.130522,33.350048,30.019570,33.350048,30.240014
taut,2,rr,0.000000,30.000000,500.000000,4,4,325,325,30.178475,30.419261,37.475087,144.775497,30.031652,144.775497,30.828794
tcp,,rr,0.000000,30.000000,500.000000,5,5,253,253,39.340286,45.326641,49.519891,59.458451,31.167091,59.458451,39.580569
enet,,rr,0.000000,30.000000,500.000000,5,5,291,291,34.117239,38.049681,44.377294,44.994752,30.374489,44.994752,34.438350
taut,1,rr,0.000000,30.000000,500.000000,5,5,330,330,30.189749,30.287124,34.133551,42.465029,30.040561,42.465029,30.322364
taut,2,rr,0.000000,30.000000,500.000000,5,5,327,327,30.175996,30.312400,34.707212,135.669309,30.032753,135.669309,30.638818
tcp,,rr,1.000000,30.000000,500.000000,1,1,222,222,39.641310,45.652749,292.131264,295.984426,30.946545,295.984426,45.465782
enet,,rr,1.000000,30.000000,500.000000,1,1,280,280,34.306804,38.117413,85.308589,132.225923,30.382121,132.225923,35.803281
taut,1,rr,1.000000,30.000000,500.000000,1,1,324,324,30.169213,30.283727,61.304255,61.674895,30.045959,61.674895,30.891177
taut,2,rr,1.000000,30.000000,500.000000,1,1,322,322,30.170043,30.250176,61.222298,139.482468,30.031981,139.482468,31.106521
tcp,,rr,1.000000,30.000000,500.000000,2,2,212,212,39.070030,44.904123,293.601852,303.049254,30.764218,303.049254,47.346958
enet,,rr,1.000000,30.000000,500.000000,2,2,286,286,33.407425,38.069664,62.193973,145.589799,30.416828,145.589799,35.035672
taut,1,rr,1.000000,30.000000,500.000000,2,2,320,320,30.195939,30.358512,61.303633,61.588894,30.057559,61.588894,31.291283
taut,2,rr,1.000000,30.000000,500.000000,2,2,322,322,30.179135,30.323710,61.326265,139.401473,30.039329,139.401473,31.127769
tcp,,rr,1.000000,30.000000,500.000000,3,3,211,211,40.864547,45.389934,290.068378,295.261390,30.983525,295.261390,47.425977
enet,,rr,1.000000,30.000000,500.000000,3,3,277,277,33.513946,38.067232,115.756554,258.934060,30.381010,258.934060,36.134136
taut,1,rr,1.000000,30.000000,500.000000,3,3,300,300,30.275173,32.173879,102.190071,177.975022,30.094088,177.975022,33.493548
taut,2,rr,1.000000,30.000000,500.000000,3,3,307,307,30.227290,31.667531,72.457834,112.461720,30.064908,112.461720,32.560320
tcp,,rr,1.000000,30.000000,500.000000,4,4,213,213,39.809880,45.791310,295.284533,303.319510,30.496561,303.319510,46.958873
enet,,rr,1.000000,30.000000,500.000000,4,4,281,281,34.097893,38.128953,82.951406,144.862819,30.236908,144.862819,35.592239
taut,1,rr,1.000000,30.000000,500.000000,4,4,328,328,30.189290,30.325552,34.432964,61.501276,30.063341,61.501276,30.509229
taut,2,rr,1.000000,30.000000,500.000000,4,4,326,326,30.184653,30.291230,61.123916,61.274282,30.049273,61.274282,30.689700
tcp,,rr,1.000000,30.000000,500.000000,5,5,218,218,40.576583,45.485940,288.629239,296.650932,30.545337,296.650932,45.974818
enet,,rr,1.000000,30.000000,500.000000,5,5,274,274,34.161583,38.116817,135.231631,153.711348,30.545982,153.711348,36.546763
taut,1,rr,1.000000,30.000000,500.000000,5,5,323,323,30.184777,30.341175,61.252348,61.471054,30.040848,61.471054,31.030762
taut,2,rr,1.000000,30.000000,500.000000,5,5,326,326,30.185995,30.295291,61.191780,61.401300,30.047908,61.401300,30.673720
tcp,,rr,5.000000,30.000000,500.000000,1,1,159,159,39.920477,45.720840,540.640139,626.316631,31.436317,626.316631,62.929961
enet,,rr,5.000000,30.000000,500.000000,1,1,223,223,35.335716,84.874876,147.598295,346.115073,30.520791,346.115073,44.913210
taut,1,rr,5.000000,30.000000,500.000000,1,1,297,297,30.188207,33.000630,61.620385,254.152129,30.069288,254.152129,33.767473
taut,2,rr,5.000000,30.000000,500.000000,1,1,300,300,30.186941,31.847711,92.300973,120.319506,30.069215,120.319506,33.409719
tcp,,rr,5.000000,30.000000,500.000000,2,2,164,164,40.034924,46.219636,409.097760,539.504483,31.190366,539.504483,62.529709
enet,,rr,5.000000,30.000000,500.000000,2,2,245,245,34.574635,42.272671,141.027618,143.176336,30.345099,143.176336,40.898947
taut,1,rr,5.000000,30.000000,500.000000,2,2,304,304,30.189012,33.430847,61.410710,65.246353,30.062836,65.246353,32.891690
taut,2,rr,5.000000,30.000000,500.000000,2,2,286,286,30.191320,61.166735,92.375502,123.427534,30.019981,123.427534,35.052611
tcp,,rr,5.000000,30.000000,500.000000,3,3,185,185,39.785170,45.781274,302.337238,577.045884,30.389013,577.045884,55.414310
enet,,rr,5.000000,30.000000,500.000000,3,3,236,236,34.894495,38.379735,155.613053,377.069391,30.409374,377.069391,42.682654
taut,1,rr,5.000000,30.000000,500.000000,3,3,301,301,30.204713,35.091864,63.283066,68.260633,30.045907,68.260633,33.309400
