transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,tx_datagrams,tx_payload_bytes
taut,1,rr,0.000000,30.000000,500.000000,1,1,329,690,191130
taut,2,rr,0.000000,30.000000,500.000000,1,1,315,680,193480
taut,1,rr,0.000000,30.000000,500.000000,2,2,330,689,191621
taut,2,rr,0.000000,30.000000,500.000000,2,2,328,671,186635
taut,1,rr,0.000000,30.000000,500.000000,3,3,330,691,192175
taut,2,rr,0.000000,30.000000,500.000000,3,3,327,690,191642
taut,1,rr,0.000000,30.000000,500.000000,4,4,331,678,188318
taut,2,rr,0.000000,30.000000,500.000000,4,4,325,685,191537
taut,1,rr,0.000000,30.000000,500.000000,5,5,330,682,189426
taut,2,rr,0.000000,30.000000,500.000000,5,5,327,677,189321
taut,1,rr,1.000000,30.000000,500.000000,1,1,324,676,188276
taut,2,rr,1.000000,30.000000,500.000000,1,1,322,657,183781
taut,1,rr,1.000000,30.000000,500.000000,2,2,320,672,188192
taut,2,rr,1.000000,30.000000,500.000000,2,2,322,677,188809
taut,1,rr,1.000000,30.000000,500.000000,3,3,300,653,186769
taut,2,rr,1.000000,30.000000,500.000000,3,3,307,672,189728
taut,1,rr,1.000000,30.000000,500.000000,4,4,328,685,193073
taut,2,rr,1.000000,30.000000,500.000000,4,4,326,683,190983
taut,1,rr,1.000000,30.000000,500.000000,5,5,323,686,192070
taut,2,rr,1.000000,30.000000,500.000000,5,5,326,678,188830
taut,1,rr,5.000000,30.000000,500.000000,1,1,297,642,185514
taut,2,rr,5.000000,30.000000,500.000000,1,1,300,644,185044
taut,1,rr,5.000000,30.000000,500.000000,2,2,304,657,189413
taut,2,rr,5.000000,30.000000,500.000000,2,2,286,627,183663
taut,1,rr,5.000000,30.000000,500.000000,3,3,301,662,192078
taut,2,rr,5.000000,30.000000,500.000000,3,3,300,657,190949
taut,1,rr,5.000000,30.000000,500.000000,4,4,304,652,187772
taut,2,rr,5.000000,30.000000,500.000000,4,4,280,631,185283
taut,1,rr,5.000000,30.000000,500.000000,5,5,294,641,184469
taut,2,rr,5.000000,30.000000,500.000000,5,5,296,648,187176
taut,1,rr,10.000000,30.000000,500.000000,1,1,268,607,179659
taut,2,rr,10.000000,30.000000,500.000000,1,1,248,565,170585
taut,1,rr,10.000000,30.000000,500.000000,2,2,242,548,165620
taut,2,rr,10.000000,30.000000,500.000000,2,2,273,621,187633
taut,1,rr,10.000000,30.000000,500.000000,3,3,270,615,185971
taut,2,rr,10.000000,30.000000,500.000000,3,3,260,599,179491
taut,1,rr,10.000000,30.000000,500.000000,4,4,259,577,170837
taut,2,rr,10.000000,30.000000,500.000000,4,4,247,562,168986
taut,1,rr,10.000000,30.000000,500.000000,5,5,266,584,172520
taut,2,rr,10.000000,30.000000,500.000000,5,5,267,605,182177
taut,1,rr,20.000000,30.000000,500.000000,1,1,184,450,141034
taut,2,rr,20.000000,30.000000,500.000000,1,1,170,422,133278
taut,1,rr,20.000000,30.000000,500.000000,2,2,194,471,148643
taut,2,rr,20.000000,30.000000,500.000000,2,2,174,438,139246
taut,1,rr,20.000000,30.000000,500.000000,3,3,196,478,151350
taut,2,rr,20.000000,30.000000,500.000000,3,3,194,477,152353
taut,1,rr,20.000000,30.000000,500.000000,4,4,223,550,172318
taut,2,rr,20.000000,30.000000,500.000000,4,4,190,461,145873
taut,1,rr,20.000000,30.000000,500.000000,5,5,198,497,158917
taut,2,rr,20.000000,30.000000,500.000000,5,5,186,475,152311
tcp,,latency,0.000000,30.000000,500.000000,1,1,4905,4905,2511360
enet,,latency,0.000000,30.000000,500.000000,1,1,4905,4905,2511360
taut,1,latency,0.000000,30.000000,500.000000,1,1,4905,4965,2646345
taut,2,latency,0.000000,30.000000,500.000000,1,1,4905,5029,2680457
tcp,,latency,0.000000,30.000000,500.000000,2,2,5104,5104,2613248
enet,,latency,0.000000,30.000000,500.000000,2,2,5104,5104,2613248
taut,1,latency,0.000000,30.000000,500.000000,2,2,5104,5255,2800915
taut,2,latency,0.000000,30.000000,500.000000,2,2,5104,5293,2821169
tcp,,latency,0.000000,30.000000,500.000000,3,3,4998,4998,2558976
enet,,latency,0.000000,30.000000,500.000000,3,3,4998,4998,2558976
taut,1,latency,0.000000,30.000000,500.000000,3,3,4998,5035,2683655
taut,2,latency,0.000000,30.000000,500.000000,3,3,4998,5059,2696447
tcp,,latency,0.000000,30.000000,500.000000,4,4,4976,4976,2547712
enet,,latency,0.000000,30.000000,500.000000,4,4,4976,4976,2547712
taut,1,latency,0.000000,30.000000,500.000000,4,4,4976,5017,2674061
taut,2,latency,0.000000,30.000000,500.000000,4,4,4976,5012,2671396
tcp,,latency,0.000000,30.000000,500.000000,5,5,5003,5003,2561536
enet,,latency,0.000000,30.000000,500.000000,5,5,5003,5003,2561536
taut,1,latency,0.000000,30.000000,500.000000,5,5,5003,5031,2681523
taut,2,latency,0.000000,30.000000,500.000000,5,5,5003,5032,2682056
