transport,cls,loss_pct,overhead_median,overhead_min,overhead_max,runs
taut,1,0.0,1.132,1.129,1.156,5
taut,1,1.0,1.151,1.143,1.155,5
taut,1,5.0,1.215,1.203,1.233,5
taut,1,10.0,1.268,1.264,1.277,5
taut,1,20.0,1.232,1.198,1.529,5
taut,2,0.0,1.137,1.130,1.165,5
taut,2,1.0,1.148,1.144,1.150,5
taut,2,5.0,1.213,1.210,1.218,5
taut,2,10.0,1.271,1.264,1.285,5
taut,2,20.0,1.289,1.200,1.365,5
tcp,,0.0,1.137,1.137,1.137,5
tcp,,1.0,1.090,1.077,1.100,5
tcp,,5.0,1.057,1.056,1.068,5
tcp,,10.0,1.071,1.058,1.085,5
tcp,,20.0,1.168,1.103,1.368,5
enet,,0.0,1.102,1.102,1.103,5
enet,,1.0,1.116,1.115,1.130,5
enet,,5.0,1.748,1.142,36.056,5
enet,,10.0,1.251,1.206,310.245,5
enet,,20.0,1.796,1.448,2.339,5
