transport,cls,loss_pct,metric,median_ms,min_ms,max_ms,runs
taut,1,0.0,p50,30.155,30.144,30.209,5
taut,1,0.0,p99,33.143,31.686,50.641,5
taut,1,0.0,p999,40.112,33.746,56.266,5
taut,1,1.0,p50,30.134,30.118,30.149,5
taut,1,1.0,p99,61.248,61.129,61.338,5
taut,1,1.0,p999,61.291,61.212,123.154,5
taut,1,5.0,p50,30.156,30.124,30.188,5
taut,1,5.0,p99,66.357,61.316,123.250,5
taut,1,5.0,p999,123.282,95.108,230.275,5
taut,1,10.0,p50,30.195,30.136,30.219,5
taut,1,10.0,p99,154.299,97.088,230.163,5
taut,1,10.0,p999,230.389,123.508,255.244,5
taut,1,20.0,p50,30.172,30.140,30.291,5
taut,1,20.0,p99,495.465,154.253,991.176,5
taut,1,20.0,p999,991.301,247.201,1035.205,5
taut,2,0.0,p50,30.148,30.128,30.160,5
taut,2,0.0,p99,31.662,31.224,32.380,5
taut,2,0.0,p999,37.329,34.126,37.686,5
taut,2,1.0,p50,30.135,30.129,30.168,5
taut,2,1.0,p99,61.269,61.053,61.322,5
taut,2,1.0,p999,63.225,61.249,92.200,5
taut,2,5.0,p50,30.179,30.148,30.191,5
taut,2,5.0,p99,92.459,61.313,123.158,5
taut,2,5.0,p999,154.404,120.220,230.296,5
taut,2,10.0,p50,30.184,30.158,30.198,5
taut,2,10.0,p99,123.344,123.145,141.194,5
taut,2,10.0,p999,247.394,123.420,247.750,5
taut,2,20.0,p50,30.185,30.140,30.191,5
taut,2,20.0,p99,252.471,247.346,630.352,5
taut,2,20.0,p999,498.533,300.100,2014.131,5
tcp,,0.0,p50,35.739,35.540,36.094,5
tcp,,0.0,p99,49.492,44.032,52.778,5
tcp,,0.0,p999,53.447,51.353,62.037,5
tcp,,1.0,p50,35.705,35.394,36.081,5
tcp,,1.0,p99,279.564,277.507,283.355,5
tcp,,1.0,p999,280.711,279.017,295.559,5
tcp,,5.0,p50,35.782,35.414,36.134,5
tcp,,5.0,p99,360.295,311.898,625.898,5
tcp,,5.0,p999,532.631,348.158,679.282,5
tcp,,10.0,p50,36.137,35.936,37.138,5
tcp,,10.0,p99,554.476,534.285,1157.100,5
tcp,,10.0,p999,760.680,559.186,1157.100,5
tcp,,20.0,p50,37.685,36.807,37.981,5
tcp,,20.0,p99,1902.176,759.158,2810.445,5
tcp,,20.0,p999,1902.176,759.158,2810.445,5
enet,,0.0,p50,32.686,31.895,33.068,5
enet,,0.0,p99,39.873,36.283,47.477,5
enet,,0.0,p999,50.536,45.069,79.915,5
enet,,1.0,p50,33.036,32.709,33.112,5
enet,,1.0,p99,80.341,40.348,134.485,5
enet,,1.0,p999,136.827,62.455,142.344,5
enet,,5.0,p50,32.860,32.836,33.186,5
enet,,5.0,p99,137.123,136.455,167.806,5
enet,,5.0,p999,186.334,138.229,1529.646,5
enet,,10.0,p50,33.531,32.924,33.860,5
enet,,10.0,p99,343.649,235.355,1113.479,5
enet,,10.0,p999,1364.915,479.988,2821.681,5
enet,,20.0,p50,33.784,33.252,34.178,5
enet,,20.0,p99,997.070,342.297,2875.834,5
enet,,20.0,p999,1631.633,1138.970,2875.834,5
