transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,received,goodput_bytes,secs,goodput_mbps
tcp,,throughput,0.000000,30.000000,500.000000,1,1,528440,270561280,10.044922,215.481042
enet,,throughput,0.000000,30.000000,500.000000,1,1,37120,19005440,10.796983,14.082038
taut,1,throughput,0.000000,30.000000,500.000000,1,1,20949,10725888,10.029320,8.555625
taut,2,throughput,0.000000,30.000000,500.000000,1,1,21184,10846208,10.016254,8.662886
tcp,,throughput,0.000000,30.000000,500.000000,2,2,526814,269728768,10.079925,214.072052
enet,,throughput,0.000000,30.000000,500.000000,2,2,37504,19202048,10.796077,14.228907
taut,1,throughput,0.000000,30.000000,500.000000,2,2,21056,10780672,10.025033,8.603002
taut,2,throughput,0.000000,30.000000,500.000000,2,2,21184,10846208,10.010334,8.668009
tcp,,throughput,0.000000,30.000000,500.000000,3,3,427671,218967552,10.070717,173.943960
enet,,throughput,0.000000,30.000000,500.000000,3,3,27134,13892608,7.375682,15.068554
taut,1,throughput,0.000000,30.000000,500.000000,3,3,20934,10718208,10.023782,8.554223
taut,2,throughput,0.000000,30.000000,500.000000,3,3,21184,10846208,10.017495,8.661813
tcp,,throughput,0.000000,30.000000,500.000000,4,4,515809,264094208,10.042854,210.373821
enet,,throughput,0.000000,30.000000,500.000000,4,4,16896,8650752,4.810004,14.387932
taut,1,throughput,0.000000,30.000000,500.000000,4,4,20876,10688512,10.017903,8.535528
taut,2,throughput,0.000000,30.000000,500.000000,4,4,19777,10125824,10.017869,8.086210
tcp,,throughput,0.000000,30.000000,500.000000,5,5,510167,261205504,10.101971,206.855075
enet,,throughput,0.000000,30.000000,500.000000,5,5,27009,13828608,6.463204,17.116723
taut,1,throughput,0.000000,30.000000,500.000000,5,5,21184,10846208,10.023259,8.656831
taut,2,throughput,0.000000,30.000000,500.000000,5,5,21184,10846208,10.014665,8.664260
