transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,wire_tx_bytes,wire_rx_bytes
tcp,,rr,0.000000,30.000000,500.000000,1,1,145146,144498
enet,,rr,0.000000,30.000000,500.000000,1,1,178344,179016
taut,1,rr,0.000000,30.000000,500.000000,1,1,220180,220180
taut,2,rr,0.000000,30.000000,500.000000,1,1,222040,211800
tcp,,rr,0.000000,30.000000,500.000000,2,2,141116,140468
enet,,rr,0.000000,30.000000,500.000000,2,2,179428,178454
taut,1,rr,0.000000,30.000000,500.000000,2,2,220559,219093
taut,2,rr,0.000000,30.000000,500.000000,2,2,214817,213281
tcp,,rr,0.000000,30.000000,500.000000,3,3,147518,146870
enet,,rr,0.000000,30.000000,500.000000,3,3,182510,181046
taut,1,rr,0.000000,30.000000,500.000000,3,3,221267,219661
taut,2,rr,0.000000,30.000000,500.000000,3,3,220622,219598
tcp,,rr,0.000000,30.000000,500.000000,4,4,147002,146358
enet,,rr,0.000000,30.000000,500.000000,4,4,180150,179710
taut,1,rr,0.000000,30.000000,500.000000,4,4,216794,215770
taut,2,rr,0.000000,30.000000,500.000000,4,4,220307,216723
tcp,,rr,0.000000,30.000000,500.000000,5,5,148100,147452
enet,,rr,0.000000,30.000000,500.000000,5,5,180150,179710
taut,1,rr,0.000000,30.000000,500.000000,5,5,218070,217046
taut,2,rr,0.000000,30.000000,500.000000,5,5,217755,214171
tcp,,rr,1.000000,30.000000,500.000000,1,1,132158,131006
enet,,rr,1.000000,30.000000,500.000000,1,1,174958,176370
taut,1,rr,1.000000,30.000000,500.000000,1,1,215399,214431
taut,2,rr,1.000000,30.000000,500.000000,1,1,210099,207539
tcp,,rr,1.000000,30.000000,500.000000,2,2,125750,127296
enet,,rr,1.000000,30.000000,500.000000,2,2,181392,181832
taut,1,rr,1.000000,30.000000,500.000000,2,2,212903,211879
taut,2,rr,1.000000,30.000000,500.000000,2,2,216991,214620
tcp,,rr,1.000000,30.000000,500.000000,3,3,125396,125702
enet,,rr,1.000000,30.000000,500.000000,3,3,174318,172800
taut,1,rr,1.000000,30.000000,500.000000,3,3,211706,201663
taut,2,rr,1.000000,30.000000,500.000000,3,3,215912,210280
tcp,,rr,1.000000,30.000000,500.000000,4,4,127436,125912
enet,,rr,1.000000,30.000000,500.000000,4,4,174422,175806
taut,1,rr,1.000000,30.000000,500.000000,4,4,220504,214620
taut,2,rr,1.000000,30.000000,500.000000,4,4,218330,215770
tcp,,rr,1.000000,30.000000,500.000000,5,5,129830,128678
enet,,rr,1.000000,30.000000,500.000000,5,5,170726,170938
taut,1,rr,1.000000,30.000000,500.000000,5,5,218435,216324
taut,2,rr,1.000000,30.000000,500.000000,5,5,216731,215132
tcp,,rr,5.000000,30.000000,500.000000,1,1,96142,97258
enet,,rr,5.000000,30.000000,500.000000,1,1,145062,143892
taut,1,rr,5.000000,30.000000,500.000000,1,1,201997,195333
taut,2,rr,5.000000,30.000000,500.000000,1,1,202080,196827
tcp,,rr,5.000000,30.000000,500.000000,2,2,100592,99854
enet,,rr,5.000000,30.000000,500.000000,2,2,159094,161558
taut,1,rr,5.000000,30.000000,500.000000,2,2,209863,200269
taut,2,rr,5.000000,30.000000,500.000000,2,2,195827,187320
tcp,,rr,5.000000,30.000000,500.000000,3,3,111410,112964
enet,,rr,5.000000,30.000000,500.000000,3,3,154420,153014
taut,1,rr,5.000000,30.000000,500.000000,3,3,210354,200374
taut,2,rr,5.000000,30.000000,500.000000,3,3,209800,198425
tcp,,rr,5.000000,30.000000,500.000000,4,4,98768,98996
enet,,rr,5.000000,30.000000,500.000000,4,4,34984,34496
taut,1,rr,5.000000,30.000000,500.000000,4,4,207542,199098
taut,2,rr,5.000000,30.000000,500.000000,4,4,203659,189197
tcp,,rr,5.000000,30.000000,500.000000,5,5,92072,91784
enet,,rr,5.000000,30.000000,500.000000,5,5,164500,158170
taut,1,rr,5.000000,30.000000,500.000000,5,5,201800,195908
taut,2,rr,5.000000,30.000000,500.000000,5,5,203798,196953
tcp,,rr,10.000000,30.000000,500.000000,1,1,72722,71360
enet,,rr,10.000000,30.000000,500.000000,1,1,122914,121724
taut,1,rr,10.000000,30.000000,500.000000,1,1,187935,178711
taut,2,rr,10.000000,30.000000,500.000000,1,1,170995,162291
tcp,,rr,10.000000,30.000000,500.000000,2,2,54692,54974
enet,,rr,10.000000,30.000000,500.000000,2,2,133080,137134
taut,1,rr,10.000000,30.000000,500.000000,2,2,165975,157082
taut,2,rr,10.000000,30.000000,500.000000,2,2,190529,177989
tcp,,rr,10.000000,30.000000,500.000000,3,3,59840,58250
enet,,rr,10.000000,30.000000,500.000000,3,3,116708,121068
taut,1,rr,10.000000,30.000000,500.000000,3,3,192330,175970
taut,2,rr,10.000000,30.000000,500.000000,3,3,184007,173586
tcp,,rr,10.000000,30.000000,500.000000,4,4,69308,67640
enet,,rr,10.000000,30.000000,500.000000,4,4,79448,77470
taut,1,rr,10.000000,30.000000,500.000000,4,4,182185,169527
taut,2,rr,10.000000,30.000000,500.000000,4,4,170349,162228
tcp,,rr,10.000000,30.000000,500.000000,5,5,46300,48082
enet,,rr,10.000000,30.000000,500.000000,5,5,113868,112278
taut,1,rr,10.000000,30.000000,500.000000,5,5,179885,172394
taut,2,rr,10.000000,30.000000,500.000000,5,5,186126,174413
tcp,,rr,20.000000,30.000000,500.000000,1,1,36278,37808
enet,,rr,20.000000,30.000000,500.000000,1,1,46084,40298
taut,1,rr,20.000000,30.000000,500.000000,1,1,132311,121748
taut,2,rr,20.000000,30.000000,500.000000,1,1,122460,113173
tcp,,rr,20.000000,30.000000,500.000000,2,2,26816,25160
enet,,rr,20.000000,30.000000,500.000000,2,2,19090,12530
taut,1,rr,20.000000,30.000000,500.000000,2,2,138549,126340
taut,2,rr,20.000000,30.000000,500.000000,2,2,128587,116447
tcp,,rr,20.000000,30.000000,500.000000,3,3,6790,5712
enet,,rr,20.000000,30.000000,500.000000,3,3,76438,74774
taut,1,rr,20.000000,30.000000,500.000000,3,3,139489,127343
taut,2,rr,20.000000,30.000000,500.000000,3,3,139497,125996
tcp,,rr,20.000000,30.000000,500.000000,4,4,29804,30044
enet,,rr,20.000000,30.000000,500.000000,4,4,52396,56976
taut,1,rr,20.000000,30.000000,500.000000,4,4,165348,149035
taut,2,rr,20.000000,30.000000,500.000000,4,4,133172,123360
tcp,,rr,20.000000,30.000000,500.000000,5,5,29078,26756
enet,,rr,20.000000,30.000000,500.000000,5,5,89596,88806
taut,1,rr,20.000000,30.000000,500.000000,5,5,139833,130743
taut,2,rr,20.000000,30.000000,500.000000,5,5,142225,124006
tcp,,latency,0.000000,30.000000,500.000000,1,1,2854640,314564
enet,,latency,0.000000,30.000000,500.000000,1,1,2768344,251450
taut,1,latency,0.000000,30.000000,500.000000,1,1,2854959,312879
taut,2,latency,0.000000,30.000000,500.000000,1,1,2891675,316827
tcp,,latency,0.000000,30.000000,500.000000,2,2,2971118,326840
enet,,latency,0.000000,30.000000,500.000000,2,2,2880580,260874
taut,1,latency,0.000000,30.000000,500.000000,2,2,3021709,331149
taut,2,latency,0.000000,30.000000,500.000000,2,2,3043475,333459
tcp,,latency,0.000000,30.000000,500.000000,3,3,2909228,320768
enet,,latency,0.000000,30.000000,500.000000,3,3,2821306,255914
taut,1,latency,0.000000,30.000000,500.000000,3,3,2895209,317289
taut,2,latency,0.000000,30.000000,500.000000,3,3,2908925,318717
tcp,,latency,0.000000,30.000000,500.000000,4,4,2896424,318392
enet,,latency,0.000000,30.000000,500.000000,4,4,2808388,253822
taut,1,latency,0.000000,30.000000,500.000000,4,4,2884817,316113
taut,2,latency,0.000000,30.000000,500.000000,4,4,2881900,315756
tcp,,latency,0.000000,30.000000,500.000000,5,5,2911940,314036
enet,,latency,0.000000,30.000000,500.000000,5,5,2823616,254302
taut,1,latency,0.000000,30.000000,500.000000,5,5,2892867,316995
taut,2,latency,0.000000,30.000000,500.000000,5,5,2893400,317016
tcp,,latency,1.000000,30.000000,500.000000,1,1,2753660,180310
enet,,latency,1.000000,30.000000,500.000000,1,1,2802738,251510
taut,1,latency,1.000000,30.000000,500.000000,1,1,2891717,317873
taut,2,latency,1.000000,30.000000,500.000000,1,1,2872125,317098
tcp,,latency,1.000000,30.000000,500.000000,2,2,2848160,160686
enet,,latency,1.000000,30.000000,500.000000,2,2,2915410,260654
taut,1,latency,1.000000,30.000000,500.000000,2,2,2996367,331497
taut,2,latency,1.000000,30.000000,500.000000,2,2,2999775,330965
tcp,,latency,1.000000,30.000000,500.000000,3,3,2755052,115414
enet,,latency,1.000000,30.000000,500.000000,3,3,2852292,255188
taut,1,latency,1.000000,30.000000,500.000000,3,3,2944617,325818
taut,2,latency,1.000000,30.000000,500.000000,3,3,2928475,322653
tcp,,latency,1.000000,30.000000,500.000000,4,4,2801912,189954
enet,,latency,1.000000,30.000000,500.000000,4,4,2880056,246516
taut,1,latency,1.000000,30.000000,500.000000,4,4,2942317,325840
taut,2,latency,1.000000,30.000000,500.000000,4,4,2928475,322492
tcp,,latency,1.000000,30.000000,500.000000,5,5,2786408,148438
enet,,latency,1.000000,30.000000,500.000000,5,5,2869310,254898
taut,1,latency,1.000000,30.000000,500.000000,5,5,2928517,323639
taut,2,latency,1.000000,30.000000,500.000000,5,5,2945150,325253
tcp,,latency,5.000000,30.000000,500.000000,1,1,2308216,42612
enet,,latency,5.000000,30.000000,500.000000,1,1,738432,58352
taut,1,latency,5.000000,30.000000,500.000000,1,1,3050417,339152
taut,2,latency,5.000000,30.000000,500.000000,1,1,3048117,339038
tcp,,latency,5.000000,30.000000,500.000000,2,2,2254086,51858
enet,,latency,5.000000,30.000000,500.000000,2,2,1705162,125534
taut,1,latency,5.000000,30.000000,500.000000,2,2,3155067,351852
taut,2,latency,5.000000,30.000000,500.000000,2,2,3165417,352414
tcp,,latency,5.000000,30.000000,500.000000,3,3,1995936,41510
enet,,latency,5.000000,30.000000,500.000000,3,3,1893412,157024
taut,1,latency,5.000000,30.000000,500.000000,3,3,3079167,342968
taut,2,latency,5.000000,30.000000,500.000000,3,3,3097567,345215
tcp,,latency,5.000000,30.000000,500.000000,4,4,2691296,54878
enet,,latency,5.000000,30.000000,500.000000,4,4,2953078,249032
taut,1,latency,5.000000,30.000000,500.000000,4,4,3103317,345970
taut,2,latency,5.000000,30.000000,500.000000,4,4,3103892,344173
tcp,,latency,5.000000,30.000000,500.000000,5,5,1838626,44060
enet,,latency,5.000000,30.000000,500.000000,5,5,2925864,203368
taut,1,latency,5.000000,30.000000,500.000000,5,5,3157367,353600
taut,2,latency,5.000000,30.000000,500.000000,5,5,3106192,344191
tcp,,latency,10.000000,30.000000,500.000000,1,1,641758,17886
enet,,latency,10.000000,30.000000,500.000000,1,1,2024580,147498
taut,1,latency,10.000000,30.000000,500.000000,1,1,3180325,345890
taut,2,latency,10.000000,30.000000,500.000000,1,1,3174659,345259
tcp,,latency,10.000000,30.000000,500.000000,2,2,1155518,26640
enet,,latency,10.000000,30.000000,500.000000,2,2,1429970,106776
taut,1,latency,10.000000,30.000000,500.000000,2,2,3302800,357949
taut,2,latency,10.000000,30.000000,500.000000,2,2,3357467,365110
tcp,,latency,10.000000,30.000000,500.000000,3,3,212150,9060
enet,,latency,10.000000,30.000000,500.000000,3,3,3105562,227126
taut,1,latency,10.000000,30.000000,500.000000,3,3,3257950,353585
taut,2,latency,10.000000,30.000000,500.000000,3,3,3243617,353404
tcp,,latency,10.000000,30.000000,500.000000,4,4,384890,10718
enet,,latency,10.000000,30.000000,500.000000,4,4,3071466,233280
taut,1,latency,10.000000,30.000000,500.000000,4,4,3229775,351637
taut,2,latency,10.000000,30.000000,500.000000,4,4,3259142,353737
tcp,,latency,10.000000,30.000000,500.000000,5,5,330336,11986
enet,,latency,10.000000,30.000000,500.000000,5,5,1111918,58202
taut,1,latency,10.000000,30.000000,500.000000,5,5,3272325,357611
taut,2,latency,10.000000,30.000000,500.000000,5,5,3255692,354126
tcp,,latency,20.000000,30.000000,500.000000,1,1,72510,2800
enet,,latency,20.000000,30.000000,500.000000,1,1,558074,36150
taut,1,latency,20.000000,30.000000,500.000000,1,1,3009550,293611
taut,2,latency,20.000000,30.000000,500.000000,1,1,3236142,317160
tcp,,latency,20.000000,30.000000,500.000000,2,2,55024,1706
enet,,latency,20.000000,30.000000,500.000000,2,2,858900,33784
taut,1,latency,20.000000,30.000000,500.000000,2,2,3182625,313407
taut,2,latency,20.000000,30.000000,500.000000,2,2,3251092,318026
tcp,,latency,20.000000,30.000000,500.000000,3,3,16578,1076
enet,,latency,20.000000,30.000000,500.000000,3,3,629848,10892
taut,1,latency,20.000000,30.000000,500.000000,3,3,3911767,383130
taut,2,latency,20.000000,30.000000,500.000000,3,3,3492017,341401
tcp,,latency,20.000000,30.000000,500.000000,4,4,99380,3552
enet,,latency,20.000000,30.000000,500.000000,4,4,1294814,33662
taut,1,latency,20.000000,30.000000,500.000000,4,4,3216550,318959
taut,2,latency,20.000000,30.000000,500.000000,4,4,3057317,299714
tcp,,latency,20.000000,30.000000,500.000000,5,5,58830,3152
enet,,latency,20.000000,30.000000,500.000000,5,5,3318462,153434
taut,1,latency,20.000000,30.000000,500.000000,5,5,3155025,307558
taut,2,latency,20.000000,30.000000,500.000000,5,5,3312617,327146
tcp,,throughput,0.000000,30.000000,500.000000,1,1,285122702,235886
enet,,throughput,0.000000,30.000000,500.000000,1,1,20223726,353946
taut,1,throughput,0.000000,30.000000,500.000000,1,1,12555700,1375668
taut,2,throughput,0.000000,30.000000,500.000000,1,1,12548884,1374996
tcp,,throughput,0.000000,30.000000,500.000000,2,2,284357012,299048
enet,,throughput,0.000000,30.000000,500.000000,2,2,20362222,357484
taut,1,throughput,0.000000,30.000000,500.000000,2,2,12215300,1338372
taut,2,throughput,0.000000,30.000000,500.000000,2,2,12608109,1381485
tcp,,throughput,0.000000,30.000000,500.000000,3,3,230746532,207398
enet,,throughput,0.000000,30.000000,500.000000,3,3,14684330,258614
taut,1,throughput,0.000000,30.000000,500.000000,3,3,12324550,1350342
taut,2,throughput,0.000000,30.000000,500.000000,3,3,12690909,1390557
tcp,,throughput,0.000000,30.000000,500.000000,4,4,278316620,249384
enet,,throughput,0.000000,30.000000,500.000000,4,4,9144294,160570
taut,1,throughput,0.000000,30.000000,500.000000,4,4,12610325,1381653
taut,2,throughput,0.000000,30.000000,500.000000,4,4,12295225,1347129
tcp,,throughput,0.000000,30.000000,500.000000,5,5,275277416,294398
enet,,throughput,0.000000,30.000000,500.000000,5,5,14625386,265748
taut,1,throughput,0.000000,30.000000,500.000000,5,5,12509700,1370628
